   List of levels:

     Level   Energy             Jpi    K
   1586    11/2-      9/2-   666.3(10)       3.90(24)     2.63e-03   0.00  M1
   3091    21/2-     17/2-   673.8(10)       0.98(24)     2.50e-03   0.00  E2
   3615    25/2-     21/2-   680.90(20)      0.66(5)      2.43e-03   0.00  E2
   3029    19/2-     17/2-   685.1(10)       0.24(24)     2.47e-03   0.00  M1
   2972    21/2+     17/2+   688.4(8)        0.44(5)      2.37e-03   0.00  E2
   3778    25/2-     21/2-   688.50(20)      0.34(7)      2.37e-03   0.00  E2
   4322    29/2+     25/2+   691.2(9)        1.95(15)     2.33e-03   0.00  E2
   1349    13/2+     11/2+   691.70(20)      8.54(15)     2.41e-03   0.00  M1
   2219    15/2-     15/2+   696.0(10)       0.49(24)     8.50e-04   0.00  E1
   4583    29/2-     25/2-   699.6(5)        0.10(24)     2.29e-03   0.00  E2
   3615    25/2-     21/2-   700.1(10)       0.68(24)     2.27e-03   0.00  E2
   2418    17/2+     17/2+   701.8(10)       0.98(24)     2.33e-03   0.00  M1
   1523    15/2+     13/2+   702.70(20)      22.0(8)      2.33e-03   0.00  M1
   2344    17/2-     13/2-   707.40(20)      51.2(4)      2.21e-03   0.00  E2
   1636    13/2-      9/2-   717.00(10)      100.0(5)     2.13e-03   0.00  E2
   3627    23/2-     19/2-   720.5(10)       0.24(24)     2.10e-03   0.00  E2
   5206    31/2+     27/2+   720.90(20)      0.122(24)    2.10e-03   0.00  E2
    821    13/2+      9/2+   728.10(20)      85.4(24)     2.05e-03   0.00  E2
   2366    15/2-     13/2-   729.7(10)       0.20(24)     2.14e-03   0.00  M1
   2972    21/2+     17/2+   735.8(8)        0.49(10)     1.99e-03   0.00  E2
   1586    11/2-      7/2-   738.7(10)       2.32(24)     1.97e-03   0.00  E2
   3972    25/2-     21/2-   741.7(10)       0.12(24)     1.95e-03   0.00  E2
   4305    27/2-     23/2-   746.5(10)       0.10(24)     1.92e-03   0.00  E2
   3091    21/2-     17/2-   747.4(10)       1.22(24)     1.92e-03   0.00  E2
   3487    23/2+     21/2+   749.4(10)       0.37(24)     2.01e-03   0.00  M1
   4080    27/2-     25/2-   752.3(10)       0.49(24)     1.99e-03   0.00  M1
   3668    25/2-     21/2-   752.8(3)        0.39(5)      1.88e-03   0.00  E2
   3277    21/2+     19/2+   753.5(10)       0.49(24)     1.98e-03   0.00  M1
   3770    27/2-     23/2-   757.6(10)       1.71(24)     1.85e-03   0.00  E2
   2394    15/2-     13/2-   758.00(20)      1.95(12)     1.96e-03   0.00  M1
   2284    17/2+     15/2+   760.4(9)        3.2(3)       1.94e-03   0.00  M1
   4705    31/2+     27/2+   765.8(6)        1.71(12)     1.80e-03   0.00  E2
   2366    15/2-     11/2-   779.9(3)        1.46(12)     1.72e-03   0.00  E2
   2417    17/2-     13/2-   780.40(20)      17.07(20)    1.72e-03   0.00  E2
   4274    27/2+     23/2+   786.50(20)      3.29(20)     1.69e-03   0.00  E2
   4211    27/2-     23/2-   794.90(20)      0.39(7)      1.64e-03   0.00  E2
   3338    21/2-     19/2-   799.1(10)       0.12(24)     1.74e-03   0.00  M1
   2520    17/2-     17/2+   804.1(10)       1.59(24)     6.27e-04   0.00  E1
   4080    27/2-     23/2-   806.20(10)      0.73(5)      1.59e-03   0.00  E2
   3559    23/2-     21/2-   806.8(10)       0.24(24)     1.70e-03   0.00  M1
   2444    15/2-     13/2-   807.2(10)       0.98(24)     1.70e-03   0.00  M1
   2524    19/2+     17/2+   807.80(20)      8.5(3)       1.69e-03   0.00  M1
   2394    15/2-     11/2-   808.80(20)      1.95(10)     1.57e-03   0.00  E2
    903    11/2+      9/2+   810.0(6)        1.95(15)     1.68e-03   0.00  M1
   2344    17/2-     15/2+   820.2(10)       4.88(24)     6.02e-04   0.00  E1
   2539    19/2-     17/2+   822.9(10)       1.95(24)     5.98e-04   0.00  E1
   5657    33/2+     29/2+   826.90(20)      0.049(24)    1.49e-03   0.00  E2
   3249    21/2-     17/2-   832.1(3)        1.46(12)     1.47e-03   0.00  E2
   4322    29/2+     23/2+   834.40(20)      0.12(10)     9.22e-03   0.00  M3
